DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauthlib\oauth2\rfc6749\endpoints\__init__.py first seen with mtime 1741160244.6411068
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\text.py first seen with mtime 1739180167.0985744
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\reshape\concat.py first seen with mtime 1732533727.4220033
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\arrow_parser_wrapper.py first seen with mtime 1732533727.548286
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1739180164.528377
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\computation\expressions.py first seen with mtime 1732533727.3275094
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\sas\__init__.py first seen with mtime 1732533727.5640008
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\six.py first seen with mtime 1732533711.8402214
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\excel\_util.py first seen with mtime 1732533727.5164745
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\schemas\__init__.py first seen with mtime 1735542824.2522552
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\metrics.py first seen with mtime 1741160251.789091
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1739180166.7595503
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\redis\commands\core.py first seen with mtime 1740986833.6150103
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\cli.py first seen with mtime 1732095311.9222722
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\test\utils.py first seen with mtime 1739180167.0698235
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\redis\asyncio\sentinel.py first seen with mtime 1740986833.6119893
DEBUG 2025-03-10 13:18:13,816 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1739180166.7502732
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1739180167.0925686
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_libs\window\__init__.py first seen with mtime 1732533729.6951303
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_utils\_inspect.py first seen with mtime 1732533713.3345597
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\overrides.py first seen with mtime 1732533712.9414482
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\negotiation.py first seen with mtime 1735542824.1421933
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\oauth2\reauth.py first seen with mtime 1741160251.8569696
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauthlib\oauth1\rfc5849\endpoints\pre_configured.py first seen with mtime 1741160244.6135292
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\styles\colors.py first seen with mtime 1740395923.0174496
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\array_algos\datetimelike_accumulations.py first seen with mtime 1732533727.3118987
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rsa\core.py first seen with mtime 1741160246.382949
